ts_code,net_flow,name
601688.SH,0.039999999935389496,华泰证券
600023.SH,0.030000000013387762,浙能电力
600346.SH,0.029999999999517968,恒力石化
603195.SH,0.02999999999155989,公牛集团
601995.SH,0.02999999998428393,中金公司
601138.SH,0.020000000251457095,工业富联
300502.SZ,0.020000000076834112,新易盛
600809.SH,0.020000000047730282,山西汾酒
002466.SZ,0.02000000002590241,天齐锂业
600036.SH,0.02000000001862645,招商银行
688041.SH,0.02000000001862645,海光信息
600233.SH,0.020000000014078978,圆通速递
300999.SZ,0.020000000011350494,金龙鱼
601788.SH,0.020000000007712515,光大证券
000538.SZ,0.020000000007712515,云南白药
300832.SZ,0.02000000000680302,新产业
601088.SH,0.020000000004074536,中国神华
002027.SZ,0.020000000004074536,分众传媒
000625.SZ,0.020000000004074536,长安汽车
300628.SZ,0.020000000004074536,亿联网络
601238.SH,0.020000000004074536,广汽集团
600515.SH,0.020000000004074536,海南机场
600016.SH,0.020000000004074536,民生银行
600039.SH,0.020000000004074536,四川路桥
601808.SH,0.020000000002255547,中海油服
300498.SZ,0.020000000000436557,温氏股份
000975.SZ,0.020000000000436557,山金国际
600018.SH,0.020000000000436557,上港集团
001965.SZ,0.019999999998617568,招商公路
600745.SH,0.01999999999679858,闻泰科技
002493.SZ,0.01999999999679858,荣盛石化
688009.SH,0.01999999999679858,中国通号
601136.SH,0.01999999999679858,首创证券
000596.SZ,0.01999999999679858,古井贡酒
000301.SZ,0.01999999999330271,东方盛虹
601878.SH,0.01999999998952262,浙商证券
002304.SZ,0.01999999998952262,洋河股份
600547.SH,0.01999999998952262,山东黄金
600029.SH,0.01999999998952262,南方航空
601009.SH,0.019999999988613126,南京银行
000408.SZ,0.019999999985884642,藏格矿业
002142.SZ,0.019999999982246663,宁波银行
600031.SH,0.019999999982246663,三一重工
003816.SZ,0.019999999982246663,中国广核
002459.SZ,0.019999999974970706,晶澳科技
688036.SH,0.01999999996041879,传音控股
600588.SH,0.01999999996041879,用友网络
000157.SZ,0.019999999953142833,中联重科
601336.SH,0.019999999945866875,新华保险
301269.SZ,0.019999999938590918,华大九天
601360.SH,0.01999999990221113,三六零
300033.SZ,0.01000000024214387,同花顺
603501.SH,0.010000000125728548,韦尔股份
002050.SZ,0.010000000067520887,三花智控
000001.SZ,0.010000000067520887,平安银行
300394.SZ,0.010000000067520887,天孚通信
601728.SH,0.010000000038417056,中国电信
601998.SH,0.010000000038417056,中信银行
601899.SH,0.010000000038417056,紫金矿业
601857.SH,0.010000000023865141,中国石油
601111.SH,0.010000000023865141,中国国航
601985.SH,0.010000000023865141,中国核电
600489.SH,0.010000000023865141,中金黄金
600760.SH,0.010000000020227162,中航沈飞
601989.SH,0.010000000020227162,中国重工
601865.SH,0.010000000016589183,福莱特
601328.SH,0.010000000016589183,交通银行
600436.SH,0.010000000016589183,片仔癀
600009.SH,0.010000000014770194,上海机场
603659.SH,0.010000000011132215,璞泰来
002475.SZ,0.010000000009313226,立讯精密
002236.SZ,0.010000000009313226,大华股份
600150.SH,0.010000000009313226,中国船舶
601689.SH,0.010000000009313226,拓普集团
600941.SH,0.010000000009313226,中国移动
000977.SZ,0.010000000009313226,浪潮信息
000876.SZ,0.010000000009313226,新希望
603833.SH,0.010000000007494236,欧派家居
000786.SZ,0.010000000005675247,北新建材
688506.SH,0.010000000005675247,百利天恒-U
002422.SZ,0.010000000005675247,科伦药业
601229.SH,0.010000000005675247,上海银行
600585.SH,0.010000000004765752,海螺水泥
688187.SH,0.010000000004765752,时代电气
600803.SH,0.010000000003856258,新奥股份
688271.SH,0.010000000002037268,联影医疗
300413.SZ,0.010000000002037268,芒果超媒
600741.SH,0.010000000000218279,华域汽车
600406.SH,0.00999999999839929,国电南瑞
000617.SZ,0.00999999999839929,中油资本
600482.SH,0.00999999999839929,中国动力
600188.SH,0.0099999999965803,兖矿能源
600795.SH,0.00999999999476131,国电电力
600011.SH,0.00999999999476131,华能国际
601766.SH,0.00999999999476131,中国中车
600900.SH,0.00999999999476131,长江电力
000708.SZ,0.009999999993851816,中信特钢
000999.SZ,0.009999999992942321,华润三九
000630.SZ,0.009999999991123332,铜陵有色
002352.SZ,0.009999999991123332,顺丰控股
000768.SZ,0.009999999991123332,中航西飞
002648.SZ,0.009999999989304342,卫星化学
600415.SH,0.009999999987485353,小商品城
600674.SH,0.009999999985666364,川投能源
600999.SH,0.009999999984756869,招商证券
688396.SH,0.009999999983847374,华润微
600989.SH,0.009999999983847374,宝丰能源
002555.SZ,0.009999999980209395,三七互娱
000651.SZ,0.009999999980209395,格力电器
601319.SH,0.009999999980209395,中国人保
601601.SH,0.009999999980209395,中国太保
600938.SH,0.009999999980209395,中国海油
600089.SH,0.009999999972933438,特变电工
002028.SZ,0.009999999962019501,思源电气
000792.SZ,0.009999999951105565,盐湖股份
000725.SZ,0.009999999951105565,京东方A
600183.SH,0.009999999943829607,生益科技
300015.SZ,0.009999999943829607,爱尔眼科
000338.SZ,0.009999999922001734,潍柴动力
600030.SH,0.009999999892897904,中信证券
002371.SZ,0.009999999892897904,北方华创
688981.SH,0.00999999966006726,中芯国际
300750.SZ,2.3283064365386963e-10,宁德时代
000063.SZ,2.3283064365386963e-10,中兴通讯
600519.SH,2.0372681319713593e-10,贵州茅台
000938.SZ,1.1641532182693481e-10,紫光股份
600570.SH,5.820766091346741e-11,恒生电子
601166.SH,3.637978807091713e-11,兴业银行
000776.SZ,3.2741809263825417e-11,广发证券
000568.SZ,2.9103830456733704e-11,泸州老窖
601117.SH,2.1827872842550278e-11,中国化学
