ts_code,net_flow,name
600406.SH,0.03000000001702574,国电南瑞
300285.SZ,0.03000000001702574,国瓷材料
600521.SH,0.030000000006566552,华海药业
605117.SH,0.030000000006111804,德业股份
002821.SZ,0.030000000006111804,凯莱英
601888.SH,0.030000000002473826,中国中免
600755.SH,0.029999999999290594,厦门国贸
601607.SH,0.029999999995197868,上海医药
600498.SH,0.02999999999155989,烽火通信
002185.SZ,0.02999999999155989,华天科技
002444.SZ,0.02999999998428393,巨星科技
600183.SH,0.029999999982464942,生益科技
002230.SZ,0.020000000076834112,科大讯飞
600919.SH,0.020000000047730282,江苏银行
601689.SH,0.020000000047730282,拓普集团
000887.SZ,0.020000000033178367,中鼎股份
300136.SZ,0.020000000029540388,信维通信
000100.SZ,0.02000000001862645,TCL科技
603259.SH,0.02000000001862645,药明康德
600066.SH,0.02000000001862645,宇通客车
300037.SZ,0.020000000007712515,新宙邦
002493.SZ,0.02000000000680302,荣盛石化
000999.SZ,0.02000000000498403,华润三九
002252.SZ,0.020000000004074536,上海莱士
600418.SH,0.020000000004074536,江淮汽车
000001.SZ,0.020000000004074536,平安银行
601872.SH,0.02000000000316504,招商轮船
002294.SZ,0.02000000000316504,信立泰
002938.SZ,0.020000000002937668,鹏鼎控股
600096.SH,0.020000000002255547,云天化
600256.SH,0.020000000002255547,广汇能源
600161.SH,0.020000000001346052,天坛生物
601615.SH,0.020000000000436557,明阳智能
601006.SH,0.020000000000436557,大秦铁路
300390.SZ,0.020000000000436557,天华新能
002007.SZ,0.019999999999072315,华兰生物
000967.SZ,0.019999999998617568,盈峰环境
601633.SH,0.019999999998617568,长城汽车
600335.SH,0.019999999997708073,国机汽车
600741.SH,0.019999999997367013,华域汽车
600549.SH,0.01999999999679858,厦门钨业
300413.SZ,0.019999999994070095,芒果超媒
002532.SZ,0.0199999999931606,天山铝业
600460.SH,0.0199999999931606,士兰微
002292.SZ,0.0199999999931606,奥飞娱乐
600941.SH,0.01999999998952262,中国移动
002405.SZ,0.01999999998952262,四维图新
603659.SH,0.019999999985884642,璞泰来
601868.SH,0.019999999985884642,中国能建
600362.SH,0.019999999985884642,江西铜业
002463.SZ,0.019999999974970706,沪电股份
002085.SZ,0.010000000125728548,万丰奥威
600036.SH,0.010000000096624717,招商银行
688012.SH,0.010000000067520887,中微公司
000938.SZ,0.010000000067520887,紫光股份
300058.SZ,0.010000000052968971,蓝色光标
300124.SZ,0.010000000038417056,汇川技术
002050.SZ,0.010000000038417056,三花智控
300251.SZ,0.010000000038417056,光线传媒
002241.SZ,0.010000000038417056,歌尔股份
002340.SZ,0.010000000031141099,格林美
600028.SH,0.010000000023865141,中国石化
300408.SZ,0.010000000018408173,三环集团
300724.SZ,0.010000000018408173,捷佳伟创
600176.SH,0.01000000001704393,中国巨石
688072.SH,0.010000000016589183,拓荆科技
600637.SH,0.010000000014770194,东方明珠
601117.SH,0.010000000012951205,中国化学
603613.SH,0.010000000012951205,国联股份
000738.SZ,0.010000000012951205,航发控制
300182.SZ,0.010000000012951205,捷成股份
600765.SH,0.010000000012951205,中航重机
002074.SZ,0.010000000011132215,国轩高科
300496.SZ,0.010000000009313226,中科创达
300699.SZ,0.010000000009313226,光威复材
603993.SH,0.010000000009313226,洛阳钼业
688235.SH,0.010000000009313226,百济神州-U
600988.SH,0.010000000005675247,赤峰黄金
688271.SH,0.010000000005675247,联影医疗
000629.SZ,0.010000000005675247,钒钛股份
300751.SZ,0.010000000004765752,迈为股份
601800.SH,0.010000000003856258,中国交建
001965.SZ,0.01000000000340151,招商公路
002318.SZ,0.010000000003174137,久立特材
603882.SH,0.010000000002946763,金域医学
002064.SZ,0.010000000002037268,华峰化学
600674.SH,0.010000000002037268,川投能源
002517.SZ,0.010000000002037268,恺英网络
300782.SZ,0.010000000002037268,卓胜微
002266.SZ,0.010000000001127773,浙富控股
600486.SH,0.010000000001127773,扬农化工
600141.SH,0.010000000000218279,兴发集团
600008.SH,0.010000000000218279,首创环保
002353.SZ,0.010000000000218279,杰瑞股份
600323.SH,0.010000000000133014,瀚蓝环境
601018.SH,0.010000000000104592,宁波港
600004.SH,0.009999999999763531,白云机场
688390.SH,0.009999999999308784,固德威
600332.SH,0.009999999999308784,白云山
600515.SH,0.009999999999308784,海南机场
600529.SH,0.009999999999308784,山东药玻
600499.SH,0.009999999998854037,科达制造
002128.SZ,0.009999999998854037,电投能源
300054.SZ,0.00999999999839929,鼎龙股份
600667.SH,0.00999999999839929,太极实业
300212.SZ,0.00999999999839929,易华录
300573.SZ,0.00999999999839929,兴齐眼药
601225.SH,0.00999999999839929,陕西煤业
600989.SH,0.00999999999839929,宝丰能源
600026.SH,0.00999999999839929,中远海能
000423.SZ,0.009999999997944542,东阿阿胶
000301.SZ,0.009999999997489795,东方盛虹
603650.SH,0.0099999999965803,彤程新材
601238.SH,0.009999999996125553,广汽集团
605358.SH,0.009999999996125553,立昂微
600153.SH,0.009999999995216058,建发股份
600415.SH,0.00999999999476131,小商品城
000807.SZ,0.00999999999476131,云铝股份
600570.SH,0.00999999999476131,恒生电子
600085.SH,0.00999999999476131,同仁堂
002624.SZ,0.00999999999476131,完美世界
603129.SH,0.00999999999442025,春风动力
000547.SZ,0.009999999992942321,航天发展
600886.SH,0.009999999992942321,国投电力
600131.SH,0.009999999992942321,国网信通
002508.SZ,0.009999999991123332,老板电器
688188.SH,0.009999999991123332,柏楚电子
002001.SZ,0.009999999991123332,新和成
000768.SZ,0.009999999991123332,中航西飞
002271.SZ,0.009999999991123332,东方雨虹
